study,estimate,lower,upper,panel,unit,scaling,policy,outcome,derivation,study_url
McClellan et al. 2018,-14,-25.13,-1.21,Relative (%),percent,See derivation,Naloxone access law,Opioid overdose deaths,IRR 0.86 and p = 0.033 from text; no CI printed in the paper; CI derived from the p-value,https://pubmed.ncbi.nlm.nih.gov/29610001/
Rees et al. 2019,-9.06,-15.59,-2.03,Relative (%),percent,See derivation,Naloxone access law,Opioid-related deaths (multiple-cause T-codes),"exp(b) - 1 from Poisson coefficient -0.095 (SE 0.038), NBER WP 23171 Table 3 col. 3; authors report 9-11% (WP) / 9-10% (JLE)",https://chicagounbound.uchicago.edu/jle/vol62/iss1/1/
Atkins et al. 2019,9.89,-6.15,28.67,Relative (%),percent,See derivation,Naloxone access law (any naloxone policy),"Opioid overdose deaths (T40.1-T40.4, T40.6)","exp(b) - 1 from Poisson coefficient 0.0943 (SE 0.0805), Table 4 Panel B",https://pmc.ncbi.nlm.nih.gov/articles/PMC6407344/
Abouk et al. 2019‡,-33.95,-57.54,-10.44,Relative (%),percent,See derivation,Naloxone access law (direct pharmacist authority),Opioid overdose deaths,"Absolute effect -0.387 (-0.656, -0.119) per 100k per month, 3+ years post, divided by comparison mean 1.14",https://pmc.ncbi.nlm.nih.gov/articles/PMC6503576/
Cataife et al. 2021†,-0.2,-20.5,25.28,Relative (%),percent,See derivation,Naloxone access law,Opioid-related deaths,"exp(b) - 1 from OLS coefficient -0.002 (SE 0.116), Table 1 Model 1 (homogeneous static model)",https://pubmed.ncbi.nlm.nih.gov/31951788/
Doleac & Mukherjee 2022,1,-7.81,9.8,Relative (%),percent,See derivation,Naloxone access law (third-party or standing order),"Opioid-related deaths, urban counties","Level coefficient 0.006 (SE 0.027) on 2010 baseline 0.601 per 100k per month, JLE Table 4",https://www.journals.uchicago.edu/doi/10.1086/719588
Sohn et al. 2023§,-16,-28.1,-3.9,Relative (%),percent,See derivation,Naloxone co-prescribing mandate,Prescription/treatment-opioid overdose deaths,"Absolute effect -8.61 (-15.13, -2.09) per state-quarter, stated as a 16% reduction; CI scaled proportionally. Abstract only; full text pending",https://www.sciencedirect.com/science/article/abs/pii/S0749379722005281
Dowd 2023 — 2018 giveaway,-14.7,-31,5.6,Relative (%),percent,See derivation,Naloxone giveaway (distribution event),"Opioid overdose deaths, Philadelphia and Pittsburgh",Implied exp(b) - 1 with b = -0.158 (SE 0.109); not yet verified against full text,https://onlinelibrary.wiley.com/doi/full/10.1002/hec.4755
Dowd 2023 — 2019 giveaway,26.7,-1.5,62.9,Relative (%),percent,See derivation,Naloxone giveaway (distribution event),"Opioid overdose deaths, Philadelphia and Pittsburgh",Implied exp(b) - 1 with b = 0.236 (SE 0.128); not yet verified against full text,https://onlinelibrary.wiley.com/doi/full/10.1002/hec.4755
HEALing Communities 2024¶,-9,-24,9,Relative (%),percent,See derivation,Multicomponent cluster RCT,Opioid overdose deaths,"Adjusted rate ratio 0.91 (0.76-1.09), Table 3",https://www.nejm.org/doi/full/10.1056/NEJMoa2401177
Freisthler et al. 2024¶,-8,-22,7,Relative (%),percent,See derivation,Multicomponent cluster RCT,All-drug overdose deaths,Adjusted rate ratio 0.92 (0.78-1.07),https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2825142
"Spackman et al. 2025 — per 10,000 kits",-23.9,-33.7,-12.6,Relative (%),percent,See derivation,Take-home naloxone distribution (Alberta),Opioid-related deaths,"As reported: 23.9% (12.6-33.7) reduction per 10,000 kits in circulation; dose-response, not a binary policy effect",https://pubmed.ncbi.nlm.nih.gov/40459670/
Erfanian et al. 2019 — direct effect,0.24,-0.55,1.03,Annualized absolute,deaths per 100k per year,Annual estimate,Naloxone access law,Opioid overdose deaths per 100k (state-year),"Direct effect 0.238 (p = 0.554), Table 6 Model 1; CI derived from p-value. Indirect (spillover) effect 5.767 (p < 0.001) not plotted",https://rrs.scholasticahq.com/article/7932-the-impact-of-naloxone-access-laws-on-opioid-overdose-deaths-in-the-u-s
Lee et al. 2021,1.79,0.84,2.75,Annualized absolute,deaths per 100k per year,Quarterly × 4,Naloxone access law,All-drug overdose deaths,"1344.3 (627.1-2061.6) per 300 million per quarter, pooled over leads 0-12; divided by 3000 for per 100k and multiplied by 4",https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2776301
Duska et al. 2022,-0.05,-0.43,0.33,Annualized absolute,deaths per 100k per year,Annual estimate,"Naloxone co-prescribing mandate (AZ, FL, RI, VT, VA)",Opioid-related deaths,As reported in abstract; units and CI method pending full text,https://journals.sagepub.com/doi/10.1177/20503245221112575
Rudolph et al. 2022 — sign reversed,-1.51,-3.18,0.16,Annualized absolute,deaths per 100k per year,Annual estimate,Naloxone access law,"Opioid overdose deaths per 100k aged 12+, 2018","Effect of delaying enactment by one year: +1.51 (-0.16, 3.18); sign reversed so negative means earlier enactment lowers deaths",https://pmc.ncbi.nlm.nih.gov/articles/PMC9373236/
Peet et al. 2024 — NAL adopted 2010–15,-0.3,-1.03,0.44,Annualized absolute,deaths per 100k per year,Quarterly × 4,Naloxone access law (dispensing),"Non-synthetic opioid deaths, age-adjusted","Table 3 Panel B +LASSO: -0.074 (SE 0.094) per 100k per quarter, 2010-2015 sample",https://www.nber.org/papers/w33105
"Peet et al. 2024 — Narcan introduction, NAL states",-0.57,-1.16,0.02,Annualized absolute,deaths per 100k per year,Quarterly × 4,Narcan nasal spray introduction (2016) in states with an NAL,"Non-synthetic opioid deaths, age-adjusted","Table 3 Panel B +LASSO: -0.143 (SE 0.075) per 100k per quarter, 2010-2019 sample",https://www.nber.org/papers/w33105
Peet et al. 2024 — NAL adopted 2016–19,-2.54,-4.05,-1.03,Annualized absolute,deaths per 100k per year,Quarterly × 4,Naloxone access law (dispensing),"Non-synthetic opioid deaths, age-adjusted","Table 3 Panel B +LASSO: -0.635 (SE 0.192) per 100k per quarter, 2016-2019 sample",https://www.nber.org/papers/w33105
Payne 2026,2.12,-0.62,4.86,Annualized absolute,deaths per 100k per year,Annual estimate,County naloxone kit distribution grant (Indiana),Opioid-related deaths,"Table 2 Panel B col. 2: 2.12 (SE 1.40), TWFE; CI is +/- 1.96 SE (author uses 2.0)",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=7279243
