study,design,data_period,comparison_structure,reported_mortality_result,exclusion_reason,study_url
Walley et al. 2013,"Interrupted time series; 19 Massachusetts communities",2002-2009,"Community-year strata with low/high OEND implementation versus no implementation","ARR 0.73 (95% CI 0.57-0.91) for 1-100 enrollments/100k; ARR 0.54 (0.39-0.76) for >100 enrollments/100k","Poisson model adjusts for measured community-level covariates and AR(1) covariance but does not include community fixed effects",https://www.bmj.com/content/346/bmj.f174
Bird et al. 2016,"National before-after; Scotland",2006-2010 versus 2011-2013,"Single national series; outcome is the share of opioid-related deaths occurring within 4 weeks of prison release","Share fell from 9.8% to 6.3%: 36% relative reduction (95% CI 20-51%); absolute reduction 3.5 percentage points (1.6-5.4)","Uncontrolled pre-post with no comparison jurisdiction; outcome is a proportion of deaths rather than a death rate",https://pmc.ncbi.nlm.nih.gov/articles/PMC4982071/
Naumann et al. 2019,"One-group pre-post with county comparison; 38 North Carolina counties",2000-2016 (kits 2013-2016),"County-years grouped by cumulative kits distributed per 100k (0; 1-100; >100)","RR 0.90 (95% CI 0.78-1.04) for 1-100 kits/100k; RR 0.88 (0.76-1.02) for >100 kits/100k; about 352 deaths averted (189-580)","Log Poisson GEE with AR(1) working correlation and secular-trend adjustment; no county fixed effects (same structure as Walley 2013)",https://pubmed.ncbi.nlm.nih.gov/31494440/
Hamilton et al. 2021,"Hierarchical Bayesian spatiotemporal Poisson; 3,109 US counties",2013-2018,"States by Good Samaritan law type with and without an NAL; county conditional-autoregressive random effects","GSL with arrest protection plus NAL, 2 years post-enactment: RR 0.90 (95% CrI 0.85-0.95) opioid deaths; 0.89 (0.82-0.96) heroin/synthetic; 0.93 (0.89-0.97) all overdose","NAL effect is estimated jointly with Good Samaritan law type and is not separately identified; county random rather than fixed effects",https://pmc.ncbi.nlm.nih.gov/articles/PMC9529169/
Antoniou et al. 2022,"Interrupted time series; Ontario provincial series",Jul 2012-Dec 2018,"Single provincial series before and after the June 2016 Ontario Naloxone Program for Pharmacies; heterogeneity by public-health-unit implementation tertile","Parsimonious level change RR 0.91 (95% CI 0.79-1.06); adjusted level RR 1.06 (0.94-1.19) and slope RR 1.06 (1.02-1.10); lowest-implementation tertile RR 0.75 (0.62-0.91)","One-group ITS with no untreated comparison jurisdiction",https://pubmed.ncbi.nlm.nih.gov/35523113/
Morgan et al. 2022,"Linear panel regression; 3-digit ZIP by quarter in Massachusetts, Rhode Island, and New York City",2016-2018 (NYC 2017-2018),"Continuous pharmacy and community naloxone per 100k, entered as same-quarter levels and quarter-to-quarter changes","Same-quarter level: pharmacy +0.0071 (95% CI 0.0008-0.0133) and community +0.0047 (0.0016-0.0079) deaths per 100k per kit per 100k; changes -0.0049 (-0.0125 to 0.0026) and -0.0003 (-0.0037 to 0.0031)","ZIP fixed effects and a linear trend are present, but the authors interpret the positive level association as naloxone reaching high-mortality areas rather than a causal effect",https://pmc.ncbi.nlm.nih.gov/articles/PMC9631422/
Taylor et al. 2022,"Interrupted time series; Maryland statewide series",2015-2019,"Single statewide series before and after the 2017 expanded naloxone standing order","Reported declines of 0.25 prescription-opioid deaths/100k, 1.83 heroin deaths/100k, and 2.54 fentanyl deaths/100k (abstract only; whether these are level or slope changes and the time unit are not stated)","One-group ITS has no untreated comparison jurisdiction and no unit fixed effects; cannot separate policy change from coincident statewide shocks",https://pubmed.ncbi.nlm.nih.gov/35467459/
Allen et al. 2022,"ARIMA interrupted time series; Clark County, Nevada",Jan 2015-Dec 2020,"Single county series before and after naloxone dispensing from public health vending machines (March 2019)","Step change -8.52 opioid-involved deaths per month (p = 0.002); slope change +1.01 per month (p < 0.001); 41 deaths averted in the first 12 months (229 observed versus 270 forecast)","Single-series ITS with no comparison",https://pmc.ncbi.nlm.nih.gov/articles/PMC9542801/
Tabatabai et al. 2023,"Longitudinal linear mixed model; 37 states",2006-2019,"State-years with versus without an NAL; random state intercept and quadratic time trajectory","NAL: -0.313 synthetic-opioid deaths/100k (95% CI -0.552 to -0.074)","Random intercept rather than state fixed effects; no event-study or pre-trend check",https://pmc.ncbi.nlm.nih.gov/articles/PMC9834937/
Yeung et al. 2023,"Interrupted time series; Alberta municipalities and province",Oct 2013-Mar 2019 (deaths),"Municipal and provincial series before and after the community-based naloxone program (January 2016) and supervised consumption sites (2018)","Urban opioid-related deaths level change +9.1 per month (+40%; 95% CI 6.7 to 11.5) after the naloxone program","One-group ITS; the naloxone interruption coincides with fentanyl emergence in Alberta",https://pmc.ncbi.nlm.nih.gov/articles/PMC10287102/
Toce et al. 2024,"Interrupted time series; state-level opioid deaths ages 15-24",1999-2021,"States grouped by type of naloxone access law","Trend (slope) IRR 0.97 (0.91-1.04) for patient-specific laws and 1.01 (0.96-1.06) for patient-nonspecific laws; immediate level-change IRR 0.88 (0.50-1.25) and 1.10 (0.94-1.27)","Published methods use population-averaged negative-binomial models; no state fixed effects reported",https://jamanetwork.com/journals/jamapediatrics/fullarticle/2824897
Xuan et al. 2024,"Multisite interrupted time series; 351 Massachusetts municipalities",2013-2018,"Implementing municipalities versus nonimplementing municipalities","Annualized RR 0.84 (0.78-0.91) for postimplementation slope; adjusted level change RR 1.09 (0.99-1.20)","Segmented Poisson GEE adjusts for measured municipal covariates but does not include municipality fixed effects",https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2822958
Hakansson et al. 2024,"Before-after with historic control period; Skane County, Sweden",2013-2017 versus 2019-2021,"Single region; take-home naloxone intervention period compared with a historic control period","Overdose deaths fell from 3.9 to 2.8 per 100k; IRR 0.72 (95% CI 0.56-0.92); men 0.65 (0.49-0.85); women 1.07 (0.60-1.87)","No comparison region; uncontrolled before-after",https://pmc.ncbi.nlm.nih.gov/articles/PMC10773398/
